date,variable,seriesNo,value
2021-06-01,Oil,4.1,7312320.9
2021-06-01,Non-Oil,4.2,16030294.3
2021-06-01,"Total Re-Exports, (At Current Prices)",5,25693926.4
2021-06-01,Oil,5.1,115221.7
2021-06-01,Non-Oil,5.2,25578704.6
2021-07-01,"Total Merchandise Trade, (At Current Prices)",1,93272111.2
2021-07-01,Oil,1.1,15417962.1
2021-07-01,Non-Oil,1.2,77854149.0
2021-07-01,"Total Merchandise Imports, (At Current Prices)",2,44769090.7
2021-07-01,Oil,2.1,8535123.0
2021-07-01,Non-Oil,2.2,36233967.7
2021-07-01,"Total Merchandise Exports, (At Current Prices)",3,48503020.4
2021-07-01,Oil,3.1,6882839.1
2021-07-01,Non-Oil,3.2,41620181.3
2021-07-01,"Total Domestic Exports, (At Current Prices)",4,22638339.4
2021-07-01,Oil,4.1,6710545.0
2021-07-01,Non-Oil,4.2,15927794.4
2021-07-01,"Total Re-Exports, (At Current Prices)",5,25864681.0
2021-07-01,Oil,5.1,172294.1
2021-07-01,Non-Oil,5.2,25692386.9
2021-08-01,"Total Merchandise Trade, (At Current Prices)",1,96399158.4
2021-08-01,Oil,1.1,16043686.4
2021-08-01,Non-Oil,1.2,80355472.0
2021-08-01,"Total Merchandise Imports, (At Current Prices)",2,44731330.8
2021-08-01,Oil,2.1,8380452.2
2021-08-01,Non-Oil,2.2,36350878.6
2021-08-01,"Total Merchandise Exports, (At Current Prices)",3,51667827.6
2021-08-01,Oil,3.1,7663234.2
2021-08-01,Non-Oil,3.2,44004593.4
2021-08-01,"Total Domestic Exports, (At Current Prices)",4,23307307.8
2021-08-01,Oil,4.1,7421490.7
2021-08-01,Non-Oil,4.2,15885817.1
2021-08-01,"Total Re-Exports, (At Current Prices)",5,28360519.8
2021-08-01,Oil,5.1,241743.5
2021-08-01,Non-Oil,5.2,28118776.2
2021-09-01,"Total Merchandise Trade, (At Current Prices)",1,96300585.2
2021-09-01,Oil,1.1,15215354.9
2021-09-01,Non-Oil,1.2,81085230.3
2021-09-01,"Total Merchandise Imports, (At Current Prices)",2,45460338.1
2021-09-01,Oil,2.1,8095151.2
2021-09-01,Non-Oil,2.2,37365186.9
2021-09-01,"Total Merchandise Exports, (At Current Prices)",3,50840247.1
2021-09-01,Oil,3.1,7120203.7
2021-09-01,Non-Oil,3.2,43720043.4
2021-09-01,"Total Domestic Exports, (At Current Prices)",4,23012786.8
2021-09-01,Oil,4.1,7020968.1
2021-09-01,Non-Oil,4.2,15991818.7
2021-09-01,"Total Re-Exports, (At Current Prices)",5,27827460.3
2021-09-01,Oil,5.1,99235.6
2021-09-01,Non-Oil,5.2,27728224.7
2021-10-01,"Total Merchandise Trade, (At Current Prices)",1,101176004.6
2021-10-01,Oil,1.1,17803002.9
2021-10-01,Non-Oil,1.2,83373001.7
2021-10-01,"Total Merchandise Imports, (At Current Prices)",2,47623774.0
2021-10-01,Oil,2.1,9619339.4
2021-10-01,Non-Oil,2.2,38004434.7
2021-10-01,"Total Merchandise Exports, (At Current Prices)",3,53552230.6
2021-10-01,Oil,3.1,8183663.5
2021-10-01,Non-Oil,3.2,45368567.1
2021-10-01,"Total Domestic Exports, (At Current Prices)",4,24318552.5
2021-10-01,Oil,4.1,7912374.1
2021-10-01,Non-Oil,4.2,16406178.4
2021-10-01,"Total Re-Exports, (At Current Prices)",5,29233678.1
2021-10-01,Oil,5.1,271289.4
2021-10-01,Non-Oil,5.2,28962388.7
2021-11-01,"Total Merchandise Trade, (At Current Prices)",1,105855924.9
2021-11-01,Oil,1.1,20450659.9
2021-11-01,Non-Oil,1.2,85405265.0
2021-11-01,"Total Merchandise Imports, (At Current Prices)",2,49870183.9
2021-11-01,Oil,2.1,10801028.7
2021-11-01,Non-Oil,2.2,39069155.2
2021-11-01,"Total Merchandise Exports, (At Current Prices)",3,55985741.0
2021-11-01,Oil,3.1,9649631.1
2021-11-01,Non-Oil,3.2,46336109.8
2021-11-01,"Total Domestic Exports, (At Current Prices)",4,26603900.5
2021-11-01,Oil,4.1,9600735.0
