date,variable,seriesNo,value
2019-05-01,Household Appliances,1.04.3,96.4
2019-05-01,"Glassware, Tableware & Household Utensils",1.04.4,96.204
2019-05-01,Tools & Equipment For House & Garden,1.04.5,85.752
2019-05-01,Household Services & Supplies,1.04.6,94.092
2019-05-01,Health,1.05,90.74
2019-05-01,Medicines & Health Products,1.05.1,98.487
2019-05-01,Outpatient Care Services,1.05.2,92.16
2019-05-01,Inpatient Care Services,1.05.3,86.625
2019-05-01,Other Health Services,1.05.4,86.234
2019-05-01,Health Insurance,1.05.5,85.709
2019-05-01,Transport,1.06,75.28
2019-05-01,Private Transport,1.06.1,72.222
2019-05-01,Land Transport Services,1.06.2,80.547
2019-05-01,Other Transport Services,1.06.3,93.633
2019-05-01,Transport Services Of Goods,1.06.4,90.979
2019-05-01,Information & Communication,1.07,97.749
2019-05-01,Information & Communication Equipment,1.07.1,104.101
2019-05-01,Software Excl Games,1.07.2,103.031
2019-05-01,Information & Communication Services,1.07.3,96.616
2019-05-01,"Recreation, Sport & Culture",1.08,86.873
2019-05-01,Recreation & Cultural Goods,1.08.1,94.229
2019-05-01,Other Recreational Goods,1.08.2,102.97
2019-05-01,Garden Products & Pets,1.08.3,86.481
2019-05-01,Recreational Services,1.08.4,82.764
2019-05-01,Cultural Services,1.08.5,88.102
2019-05-01,"Newspapers, Books & Stationery",1.08.6,96.436
2019-05-01,Holiday Expenses,1.08.7,86.021
2019-05-01,Education,1.09,91.568
2019-05-01,"General, Vocational & Higher Education",1.09.1,96.497
2019-05-01,Private Tuition & Other Educational Courses,1.09.2,81.367
2019-05-01,School Textbooks & Study Guides,1.09.3,95.727
2019-05-01,Miscellaneous Goods & Services,1.10,96.876
2019-05-01,Personal Care,1.10.1,95.166
2019-05-01,Alcoholic Beverages & Tobacco,1.10.2,88.485
2019-05-01,Other Personal Effects,1.10.3,102.305
2019-05-01,Social Services,1.10.4,105.862
2019-05-01,Other Miscellaneous Services,1.10.5,103.628
2019-05-01,Food & Beverage Serving Services,1.11,83.887
2019-05-01,"Restaurants, Cafes & Pubs",1.11.1,84.083
2019-05-01,Fast Food Restaurants,1.11.2,82.47
2019-05-01,"Hawker Centres, And Food Courts, Coffee Shops & Kiosks",1.11.3,83.779
2019-05-01,"Other Catering Services, Incl Vending Machines",1.11.4,84.723
2019-05-01,All Items Less Accommodation,2,85.747
2019-05-01,All Items Less Imputed Rentals For Housing,3,85.976
2019-06-01,All Items,1,85.832
2019-06-01,Food,1.0,84.27
2019-06-01,Food Excl Food & Beverage Serving Services,1.01,85.123
2019-06-01,Rice & Cereal Products,1.01.1,84.457
2019-06-01,Meat,1.01.2,80.388
2019-06-01,Fish & Other Seafood,1.01.3,92.409
2019-06-01,"Milk, Other Dairy Products & Eggs",1.01.4,84.215
2019-06-01,Oils & Fats,1.01.5,84.866
2019-06-01,Fruits & Nuts,1.01.6,86.66
2019-06-01,Vegetables,1.01.7,83.119
2019-06-01,"Sugar, Confectionery & Desserts",1.01.8,88.019
2019-06-01,Ready-Made Food & Other Food Products Nec,1.01.9,86.474
2019-06-01,Non-Alcoholic Beverages,1.01.10,83.077
2019-06-01,Clothing & Footwear,1.02,104.224
2019-06-01,Clothing,1.02.1,104.896
2019-06-01,Footwear,1.02.2,103.06
2019-06-01,Housing & Utilities,1.03,86.838
2019-06-01,Accommodation,1.03.1,87.333
2019-06-01,Utilities & Other Fuels,1.03.2,83.04
2019-06-01,Household Durables & Services,1.04,93.955
2019-06-01,Furniture & Furnishings,1.04.1,91.058
2019-06-01,Household Textiles,1.04.2,99.453
2019-06-01,Household Appliances,1.04.3,96.218
